first,second,result
Saguaro,Atlas,Cactus
Ring,Atlas,Titan
Sashimi,Atlas,Sushi
Sailboat,Atlas,Titanic
Atlas,Sandbox,World
Sauna,Atlas,Sweat
Scent,Atlas,Titan
Sharknado,Atlas,Sharktopus
Atlas,Shard,Titan
Snowstorm,Atlas,Blizzard
Space Station,Atlas,Satellite
Atlas,Sphinx,Titan
Snowmobile,Atlas,Snowman
Atlas,Smoker,Atlas
Steam Turbine,Atlas,Power Plant
Atlas,Sponge,SpongeBob
Spirit,Atlas,Titan
Atlas,Splash,Titanic
Stoner,Atlas,Slacker
Super Volcano,Atlas,Supernova
Supervolcano,Atlas,Supercontinent
Atlas,Tea Party,Atlas Shrugged
Atlas,Teacup,World
Time,Atlas,Clock
Temple,Atlas,Titan
Truck,Atlas,Titan
Tumbleweed,Atlas,Desert
Atlas,Thunderstorm,Zeus
Universe,Atlas,God
Village,Atlas,Atlantis
Atlas,Weather,Titan
Atlas,Winery,Wine
Vinegar,Atlas,Pickle
Atlas,Alps,Mountain
Atlas,420,420atlas
Amazon,Atlas,Amazon
America,Atlas,Statue of Liberty
Astronaut,Atlas,Atlas
Atlas,Apple Pie,World
Amoeba,Atlas,World
Atlas,Asia,Map
Atlas,Apple Tree,Apple
Bacon,Atlas,Atlas
Bait,Atlas,Fish
Atlas,Baptism,Atlas
Atlas,Bat,Atlas
Balsamic Vinegar,Atlas,Balsamic Vinegar of the Gods
Atlas,Battleship,Titanic
Atlas,Bear,Nothing
Berserker,Atlas,Hercules
Big Dipper,Atlas,Globe
Atlas,Birthday,Party
Atlas,Boiled Fish,Sushi
Bonfire,Atlas,Titan
Blood,Atlas,Titan
Atlas,Blind,Titan
Bonsai,Atlas,Tree
Atlas,Bookshelf,Library
Bottle Rocket,Atlas,Fireworks
Atlas,Bridge,Titan
Brew,Atlas,Beer
Atlas,Bubble,Globe
Atlas,Camera,Photographer
Bullet,Atlas,Titan
Broomstick,Atlas,Witch
Cannabis,Atlas,Marijuana
Atlas,Canoe,Poseidon
Atlas,Chaos,Titan
Atlas,Carnivore,Titan
Atlas,Charcoal,Coal
Chariot,Atlas,Zeus
Atlas,Church,Titanic
Cigar Box,Atlas,Cigar
Atlas,City,Atlantis
Cloud Station,Atlas,Cloud
Atlas,Chili,Chili con Carne
Coconut Tree,Atlas,Palm
Coconut Milk,Atlas,Piña Colada
Color,Atlas,Map
Cotton,Atlas,Pillow
Crab,Atlas,Cancer
Atlas,Compass,Globe
Atlas,Cow,Titan
Atlas,Confetti,Party
Crop Circle,Atlas,Crop Circles
Crown,Atlas,King
Cure,Atlas,Atlas
Cyborg,Atlas,Titan
Dandelion Tea,Atlas,Hercules
Atlas,Dead Sea,Shrug
Atlas,Dracula,Vampire
Atlas,Double Axe,Titan
Atlas,Dough,Pizza
Drain,Atlas,Map
Duckling,Atlas,Atlas
Dump Truck,Atlas,Titan
Atlas,Duck and Cover,Atlas Shrugged
Dust Trap,Atlas,Vacuum
Atlas,Dwarf,Titan
Atlas,Dynamite,Earthquake
Dustpan,Atlas,Cleaning
Eden,Atlas,Garden
Atlas,Egypt,Sphinx
Atlas,Elf,Shaman
Atlas,Enlightenment,Buddha
Atlas,Emulsion,World
Eyjafjallajökull,Atlas,Volcano
Atlas,Farmer,Titan
Atlas,Fenghuang,Titan
Atlas,Fire Breathing Dragon,Smaug
Fire Balloon,Atlas,Hot Air Balloon
Fire Breath,Atlas,Dragon
